CodigoDisciplina;PeriodoLetivo;CodigoTurma;NumeroModulo;Login_Quantidade;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal_Somado;Evadido;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso_Somado;Resource_View_Quantidade_Somado;Resource_View_Tempo_Somado;Questionario_Quantidade_Somado;Questionario_TempoUso_Somado;Log_Post_Quantidade_Somado;Log_View_Quantidade_Somado
60463;20120102;4605;6;9;22;41501;Sucesso;8;84;32;23;5187;0;0.201657791;0.375460832;0.422881376;0;8369;15582;17550;0;27;0;54;10278;1;1414;47;432
60463;20120102;4605;3;11;6;8367;Sucesso;4;12;227;0;247;0.035855145;0;0.114736465;0.84940839;300;0;960;7107;0;7;0;17;2203;0;0;4;96
60463;20120102;4605;6;3;10;14504;Sucesso;5;26;0;0;247;0.113279095;0.022476558;0.265995587;0.598248759;1643;326;3858;8677;0;25;0;33;4590;0;66;12;190
60463;20120102;4605;3;0;3;6607;Sucesso;1;6;0;0;0;0;0;0.107764492;0.892235508;0;0;712;5895;0;3;0;11;1664;0;0;2;42
60463;20120102;4605;3;0;4;5401;ReprEvadiu;1;4;0;2;710;0;0;0.121273838;0.878726162;0;0;655;4746;0;10;0;7;2422;0;0;3;40
60463;20120102;4605;6;1;9;9122;ReprEvadiu;1;5;0;2;740;0;0;0.107103705;0.892896295;0;0;977;8145;0;13;0;10;3202;0;1397;10;62
60463;20120102;4605;3;1;2;704;ReprEvadiu;0;1;20;0;0;0;0.573863636;0;0.426136364;0;404;0;300;0;2;0;1;300;0;0;0;6
60463;20120102;4605;6;1;3;1004;ReprEvadiu;0;1;0;0;0;0;0.701195219;0;0.298804781;0;704;0;300;0;2;0;1;300;0;0;0;7
60463;20120102;4605;3;1;4;13803;ReprEvadiu;2;6;300;10;2978;0;0;0;1;0;0;0;13803;0;14;0;22;5741;0;0;17;65
60463;20120102;4605;6;2;8;22691;ReprEvadiu;2;9;58;17;4867;0;0;0;1;0;0;0;22691;0;18;0;36;11089;0;185;26;96
60463;20120102;4605;3;5;6;6515;ReprEvadiu;1;6;1097;0;330;0;0;0.421949348;0.578050652;0;0;2749;3766;0;9;0;4;841;0;0;1;42
60463;20120102;4605;3;6;11;14797;Sucesso;3;27;19;4;1950;0;0.085152396;0.395891059;0.518956545;0;1260;5858;7679;0;11;0;28;3714;0;0;9;132
60463;20120102;4605;6;11;25;33654;Sucesso;7;52;79;4;1950;0;0.152344446;0.359006359;0.488649195;0;5127;12082;16445;0;20;0;60;9730;0;4617;53;284
60463;20120102;4605;3;8;7;9623;ReprEvadiu;0;12;356;0;427;0;0.202743427;0.035435935;0.761820638;0;1951;341;7331;0;20;0;27;4337;0;0;0;133
60463;20120102;4605;6;1;11;11791;ReprEvadiu;0;15;11;0;434;0;0.165465185;0.028920363;0.805614452;0;1951;341;9499;0;23;0;35;5576;0;614;0;160
60463;20120102;4604;6;17;27;37661;Sucesso;2;18;34;0;47;0.080189055;0.169777754;0.351796288;0.398236903;3020;6394;13249;14998;0;33;0;92;15239;2;4047;47;263
60463;20120102;4604;3;0;3;1052;ReprEvadiu;0;0;0;0;300;0;0.285171103;0;0.714828897;0;300;0;752;0;0;0;1;300;0;0;0;6
60463;20120102;4604;6;0;3;1052;ReprEvadiu;0;0;0;0;300;0;0.285171103;0;0.714828897;0;300;0;752;0;0;0;1;300;0;0;0;6
60463;20120102;4604;3;0;4;1252;ReprEvadiu;0;0;0;0;0;0.28115016;0.239616613;0;0.479233227;352;300;0;600;0;0;0;1;300;0;0;0;4
60463;20120102;4604;6;2;10;9380;ReprEvadiu;0;1;0;0;381;0.117803838;0.1;0;0.782196162;1105;938;0;7337;0;9;0;35;3548;0;334;6;67
60463;20120102;4604;3;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60463;20120102;4604;6;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60463;20120102;4605;6;6;16;24209;ReprEvadiu;4;17;677;0;23;0;0;0.03131067;0.96868933;0;0;758;23451;0;24;0;44;8495;1;3040;39;177
60463;20120102;4605;3;0;2;1040;ReprEvadiu;0;2;0;0;0;0;0;1;0;0;0;1040;0;0;0;0;11;761;0;0;0;18
60463;20120102;4605;6;0;2;1040;ReprEvadiu;0;2;0;0;0;0;0;1;0;0;0;1040;0;0;0;0;11;761;0;0;0;18
60463;20120102;4605;3;7;5;7234;ReprEvadiu;1;10;607;0;598;0;0;0;1;0;0;0;7234;0;5;0;8;1593;0;0;2;88
60463;20120102;4605;6;9;12;21069;ReprEvadiu;1;12;171;0;1120;0;0;0;1;0;0;0;21069;0;19;0;38;7668;1;1729;23;193
60463;20120102;4605;3;34;18;30157;Sucesso;3;38;321;23;3650;0.027058394;0.058527042;0.172364625;0.742049939;816;1765;5198;22378;0;12;0;16;3264;0;22;26;197
60463;20120102;4605;6;3;27;38539;Sucesso;5;47;0;24;3771;0.021173357;0.053582086;0.158436908;0.766807649;816;2065;6106;29552;0;15;0;19;3679;0;50;31;257
60463;20120102;4605;3;2;3;1333;ReprEvadiu;0;2;0;0;0;0;0.309827457;0;0.690172543;0;413;0;920;0;1;0;3;675;0;0;0;13
60463;20120102;4605;6;2;8;7037;ReprEvadiu;0;4;0;0;0;0.042631803;0.25010658;0;0.707261617;300;1760;0;4977;0;11;0;9;2505;1;443;8;54
60463;20120102;4605;3;23;14;19735;Sucesso;3;56;356;1;334;0;0.092221941;0.249961996;0.657816063;0;1820;4933;12982;0;16;0;25;6567;0;0;8;202
60463;20120102;4605;6;18;30;38263;Sucesso;7;97;1340;1;334;0;0.082377231;0.215926613;0.701696156;0;3152;8262;26849;0;27;0;58;13862;2;2844;45;393
60463;20120102;4605;3;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60463;20120102;4605;6;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60463;20120102;4605;3;8;13;16828;ReprEvadiu;1;19;1209;1;1206;0;0;0.235975755;0.764024245;0;0;3971;12857;0;8;0;18;2933;0;0;2;119
60463;20120102;4605;6;2;21;27759;ReprEvadiu;2;24;6;1;2174;0;0.02028171;0.299686588;0.680031701;0;563;8319;18877;0;12;0;36;5591;1;956;9;184
60463;20120102;4605;3;5;13;24377;Sucesso;3;18;505;0;2326;0.178734053;0.109734586;0;0.711531362;4357;2675;0;17345;0;9;0;43;10021;0;0;3;135
60463;20120102;4605;6;14;27;52649;Sucesso;7;38;1280;0;2326;0.140287565;0.117172216;0.076506676;0.666033543;7386;6169;4028;35066;0;19;0;71;16660;2;6613;55;291
60463;20120102;4605;3;25;10;28362;Sucesso;3;35;1692;7;938;0.048304069;0.025914957;0.087194133;0.838586842;1370;735;2473;23784;0;22;0;43;7578;0;0;10;261
60463;20120102;4605;6;20;21;54301;Sucesso;3;43;1180;12;2849;0.068525442;0.019925968;0.181396291;0.730152299;3721;1082;9850;39648;0;50;0;58;10472;1;7510;38;491
60463;20120102;4605;3;12;11;17837;Sucesso;7;44;625;10;2561;0;0.393339687;0.100521388;0.506138925;0;7016;1793;9028;0;23;0;20;1375;0;0;19;263
60463;20120102;4605;6;10;24;37990;Sucesso;9;69;767;10;3995;0.050039484;0.192866544;0.263437747;0.493656225;1901;7327;10008;18754;0;37;0;57;5301;1;4635;41;492
60463;20120102;4605;6;25;10;19897;Sucesso;1;11;30;0;0;0.033221089;0.098105242;0.25581746;0.612856209;661;1952;5090;12194;0;28;0;42;9265;0;125;5;173
60463;20120102;4605;6;3;13;15061;ReprEvadiu;1;8;0;0;330;0;0.051059027;0.353628577;0.595312396;0;769;5326;8966;0;17;0;15;3079;1;1870;12;91
60463;20120102;4605;3;1;4;3018;ReprEvadiu;0;2;0;1;352;0;0;0.423127899;0.576872101;0;0;1277;1741;0;3;0;5;428;0;0;1;32
60463;20120102;4605;6;0;4;3018;ReprEvadiu;0;2;0;1;352;0;0;0.423127899;0.576872101;0;0;1277;1741;0;3;0;5;428;0;0;1;32
60463;20120102;4605;3;7;8;7325;ReprEvadiu;1;8;115;0;6;0;0.098976109;0.386075085;0.514948805;0;725;2828;3772;0;4;0;19;1717;0;0;1;57
60463;20120102;4605;6;0;8;7325;ReprEvadiu;1;8;0;0;6;0;0.098976109;0.386075085;0.514948805;0;725;2828;3772;0;4;0;19;1717;0;0;1;57
60463;20120102;4605;3;11;11;8954;ReprEvadiu;1;9;339;12;986;0;0.311034175;0.165624302;0.523341523;0;2785;1483;4686;0;11;0;8;490;0;0;13;55
60463;20120102;4605;6;11;19;20329;ReprEvadiu;2;15;391;12;2079;0;0.136996409;0.287815436;0.575188155;0;2785;5851;11693;0;21;0;21;3604;1;2438;35;137
60463;20120102;4605;3;3;8;7836;Sucesso;1;7;0;0;386;0;0.106687085;0.215416029;0.677896886;0;836;1688;5312;0;12;0;9;1903;0;0;3;50
60463;20120102;4605;6;7;20;22146;Sucesso;2;12;72;0;966;0.129729974;0.037749481;0.116635058;0.715885487;2873;836;2583;15854;0;37;0;41;7195;1;3556;22;166
60463;20120102;4605;3;3;3;2375;ReprEvadiu;0;4;417;0;0;0;0;0;1;0;0;0;2375;0;5;0;5;1115;0;0;0;22
60463;20120102;4605;6;3;8;9351;ReprEvadiu;0;4;0;0;0;0;0;0;1;0;0;0;9351;0;7;0;22;6848;0;356;1;55
60463;20120102;4605;3;2;2;1526;ReprEvadiu;0;0;0;0;0;0;0;0;1;0;0;0;1526;0;0;0;3;362;0;0;0;8
60463;20120102;4605;6;0;5;5850;ReprEvadiu;0;2;0;0;16;0;0;0;1;0;0;0;5850;0;3;0;7;1990;0;300;0;27
60463;20120102;4605;3;3;12;8379;ReprEvadiu;1;26;358;0;0;0;0.290607471;0.709392529;0;0;2435;5944;0;0;21;0;17;1113;0;0;3;142
60463;20120102;4605;6;21;25;32224;ReprEvadiu;4;59;994;0;94;0;0.481597567;0.373107001;0.145295432;0;15519;12023;4682;0;67;0;64;7551;1;7041;53;384
60463;20120102;4605;3;15;19;34021;Sucesso;7;76;1598;29;5517;0;0.110284824;0.237588548;0.652126628;0;3752;8083;22186;0;37;0;48;5491;0;125;39;404
60463;20120102;4605;3;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60463;20120102;4605;6;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60463;20120102;4604;6;4;20;19030;ReprEvadiu;4;26;86;0;1025;0;0.493641618;0.325223332;0.18113505;0;9394;6189;3447;0;16;0;28;5805;1;772;11;225
60463;20120102;4604;3;9;10;15967;Sucesso;1;24;639;0;342;0;0.047535542;0.094256905;0.858207553;0;759;1505;13703;0;15;0;25;5608;0;18;3;161
60463;20120102;4604;6;41;24;62225;Sucesso;3;71;1423;0;635;0.005689032;0.169337083;0.230566493;0.594407393;354;10537;14347;36987;0;46;0;73;14910;2;7612;78;502
60463;20120102;4604;3;8;9;20116;Sucesso;1;23;661;0;1842;0;0.038079141;0.200785444;0.761135415;0;766;4039;15311;0;12;0;31;7044;0;1108;4;230
60463;20120102;4604;6;5;19;34296;Sucesso;1;30;341;0;2686;0;0.031082342;0.214369023;0.754548635;0;1066;7352;25878;0;22;0;54;11185;1;3979;28;352
60463;20120102;4604;3;14;14;14876;ReprEvadiu;2;33;2533;0;733;0;0.030787846;0.559491799;0.409720355;0;458;8323;6095;0;14;0;18;3058;0;0;2;156
60463;20120102;4604;6;19;31;41921;ReprEvadiu;4;88;1323;0;1130;0.007514134;0.042914053;0.589179647;0.360392166;315;1799;24699;15108;0;30;0;77;12095;1;2879;37;516
60463;20120102;4604;3;10;8;9182;Sucesso;1;6;304;0;601;0;0;0.313874973;0.686125027;0;0;2882;6300;0;7;0;9;1759;0;334;6;51
60463;20120102;4604;6;9;20;17194;Sucesso;1;7;305;0;901;0;0.06234733;0.496335931;0.441316738;0;1072;8534;7588;0;13;0;21;3709;1;1558;12;101
60463;20120102;4604;3;10;10;15861;Sucesso;1;13;72;9;2343;0;0.115566484;0.162915327;0.721518189;0;1833;2584;11444;0;11;0;19;3774;0;300;12;87
60463;20120102;4604;6;9;25;33140;Sucesso;1;15;62;15;4840;0;0.157030779;0.246047073;0.596922148;0;5204;8154;19782;0;19;0;50;8906;1;1828;35;194
60463;20120102;4604;3;10;15;20263;Sucesso;2;14;300;0;38;0;0.441148892;0.40571485;0.153136258;0;8939;8221;3103;0;12;0;5;463;0;300;2;174
60463;20120102;4604;6;12;30;32027;Sucesso;2;16;49;0;433;0;0.308083804;0.359196928;0.332719268;0;9867;11504;10656;0;25;0;10;1686;1;2123;19;264
60463;20120102;4604;3;9;13;21138;Sucesso;2;19;0;16;2132;0;0.073516889;0.167518214;0.758964897;0;1554;3541;16043;0;11;0;22;5639;0;0;18;133
60463;20120102;4604;3;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60463;20120102;4604;6;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60463;20120102;4604;3;6;15;27245;Sucesso;3;57;772;8;2580;0;0.05769866;0.166048816;0.776252523;0;1572;4524;21149;0;36;0;40;7805;0;153;11;363
60463;20120102;4604;6;12;26;43884;Sucesso;3;67;675;8;3813;0;0.137088688;0.262282381;0.600628931;0;6016;11510;26358;0;48;0;82;14419;1;3518;31;516
60463;20120102;4604;3;0;4;2330;ReprEvadiu;0;1;0;0;0;0;0;0;1;0;0;0;2330;0;1;0;2;300;0;0;0;15
60463;20120102;4604;6;0;4;2330;ReprEvadiu;0;1;0;0;0;0;0;0;1;0;0;0;2330;0;1;0;2;300;0;0;0;15
60463;20120102;4604;6;0;3;3165;ReprEvadiu;0;5;0;0;0;0;0;0;1;0;0;0;3165;0;0;0;9;2430;0;0;0;26
60463;20120102;4604;3;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60463;20120102;4604;6;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60463;20120102;4604;3;3;5;4224;ReprEvadiu;0;0;0;7;2132;0;0;0.235085227;0.764914773;0;0;993;3231;0;2;0;2;320;0;0;7;23
60463;20120102;4604;6;3;14;27614;ReprEvadiu;2;14;10;35;4728;0;0.047656986;0.38820888;0.564134135;0;1316;10720;15578;0;24;0;30;5283;1;2057;71;197
60463;20120102;4604;3;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60463;20120102;4604;6;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60463;20120102;4604;3;6;12;14419;Sucesso;2;12;146;0;47;0.024412234;0.153824814;0.275539219;0.546223733;352;2218;3973;7876;0;15;0;36;4510;0;0;6;106
60463;20120102;4605;3;2;2;772;ReprEvadiu;0;0;0;0;0;0;0.527202073;0;0.472797927;0;407;0;365;0;2;0;4;110;0;0;0;12
60463;20120102;4605;6;0;2;772;ReprEvadiu;0;0;0;0;0;0;0.527202073;0;0.472797927;0;407;0;365;0;2;0;4;110;0;0;0;12
60463;20120102;4605;3;7;4;2776;ReprEvadiu;0;1;0;0;0;0;0.35518732;0.117435159;0.527377522;0;986;326;1464;0;11;0;7;1129;0;0;0;30
60463;20120102;4605;6;1;9;6594;ReprEvadiu;0;1;0;0;300;0;0.342887473;0.435092508;0.222020018;0;2261;2869;1464;0;20;0;11;1738;1;1144;15;59
60463;20120102;4605;3;2;7;6425;Sucesso;1;7;0;0;17;0;0;0.90381323;0.09618677;0;0;5807;618;0;7;0;2;314;0;300;5;39
60463;20120102;4605;6;7;14;16726;Sucesso;1;14;0;0;39;0;0;0.885328231;0.114671769;0;0;14808;1918;0;21;0;27;3348;1;4218;60;122
60463;20120102;4605;3;15;13;8062;ReprEvadiu;1;4;0;0;458;0.121806003;0.0839742;0.137682957;0.656536839;982;677;1110;5293;0;9;0;1;556;0;0;1;56
60463;20120102;4605;6;1;19;13555;ReprEvadiu;1;5;0;0;747;0.072445592;0.101586131;0.104020657;0.721947621;982;1377;1410;9786;0;19;0;6;1888;1;1061;29;94
60463;20120102;4605;3;7;6;10309;ReprEvadiu;3;9;83;0;23;0;0;0;1;0;0;0;10309;0;10;0;20;4080;0;24;6;77
60463;20120102;4605;3;4;9;10921;Sucesso;2;16;0;16;1313;0;0.099166743;0.144492263;0.756340994;0;1083;1578;8260;0;20;0;8;1535;0;0;22;75
60463;20120102;4605;6;4;17;30351;Sucesso;2;18;30;21;2202;0;0.035682515;0.400019769;0.564297717;0;1083;12141;17127;0;38;0;21;4763;2;10942;224;151
60463;20120102;4605;3;0;3;8065;ReprEvadiu;1;6;0;0;48;0;0;0.537011779;0.462988221;0;0;4331;3734;0;0;0;5;1515;0;0;1;41
60463;20120102;4605;6;0;3;8065;ReprEvadiu;1;6;0;0;48;0;0;0.537011779;0.462988221;0;0;4331;3734;0;0;0;5;1515;0;0;1;41
60463;20120102;4605;3;0;2;4507;ReprEvadiu;0;3;0;18;3109;0;0;0.122254271;0.877745729;0;0;551;3956;0;0;0;2;600;0;0;18;18
60463;20120102;4605;6;0;2;4507;ReprEvadiu;0;3;0;18;3109;0;0;0.122254271;0.877745729;0;0;551;3956;0;0;0;2;600;0;0;18;18
60463;20120102;4605;3;4;7;7891;ReprEvadiu;1;15;495;0;52;0.745786339;0;0.179825117;0.074388544;5885;0;1419;587;0;11;0;29;1504;0;0;1;101
60463;20120102;4605;6;13;19;26463;ReprEvadiu;1;24;474;0;52;0.586139138;0.044174886;0.127801081;0.241884896;15511;1169;3382;6401;0;40;0;82;7705;2;6619;101;282
60463;20120102;4605;3;6;19;23306;Sucesso;2;30;0;0;0;0.013430018;0.05260448;0.192396808;0.741568695;313;1226;4484;17283;0;25;0;26;6305;0;0;9;157
60463;20120102;4605;6;13;35;44631;Sucesso;3;46;611;0;23;0.049517152;0.084448029;0.261835944;0.604198875;2210;3769;11686;26966;0;36;0;54;13696;1;2848;27;310
60463;20120102;4605;3;0;1;1026;ReprEvadiu;0;2;0;0;0;0;0;1;0;0;0;1026;0;0;2;0;0;0;0;0;0;9
60463;20120102;4605;6;6;5;4600;ReprEvadiu;0;5;354;0;26;0;0.30173913;0.69826087;0;0;1388;3212;0;0;10;0;7;750;0;940;9;47
60463;20120102;4605;3;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60463;20120102;4605;3;8;10;10165;ReprEvadiu;1;12;1102;1;133;0.224397442;0.129758977;0.065223807;0.580619774;2281;1319;663;5902;0;10;0;16;2262;0;0;2;74
60463;20120102;4605;6;7;20;31925;ReprEvadiu;3;25;0;12;1545;0.196930305;0.051527016;0.21274863;0.538794049;6287;1645;6792;17201;0;28;0;23;4080;1;4512;42;213
60463;20120102;4605;3;0;3;3399;ReprEvadiu;0;4;0;0;8;0;0;0.457193292;0.542806708;0;0;1554;1845;0;1;0;9;1052;0;0;0;31
60463;20120102;4605;3;12;12;17404;ReprEvadiu;2;20;240;0;14;0;0.130372328;0.36554815;0.504079522;0;2269;6362;8773;0;15;0;31;6182;0;0;2;154
60463;20120102;4605;6;5;23;28181;ReprEvadiu;3;33;0;0;14;0;0.124906852;0.507327632;0.367765516;0;3520;14297;10364;0;18;0;48;9940;0;1286;13;264
60463;20120102;4605;6;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60463;20120102;4605;3;2;3;3080;Sucesso;1;3;300;0;235;0.097402597;0;0;0.902597403;300;0;0;2780;0;2;0;2;340;0;0;1;22
60463;20120102;4605;6;0;7;22285;Sucesso;2;9;0;0;1096;0.02692394;0;0.1580884;0.81498766;600;0;3523;18162;0;20;0;23;7447;1;3276;68;128
60463;20120102;4605;3;5;6;14230;Sucesso;3;15;0;9;3763;0;0;0.038439916;0.961560084;0;0;547;13683;0;4;0;15;2053;0;0;12;113
60463;20120102;4605;6;6;17;27919;Sucesso;3;20;0;14;5062;0.010745371;0.022457824;0.097173968;0.869622837;300;627;2713;24279;0;16;0;33;6787;1;645;31;201
60463;20120102;4605;3;6;9;11058;Sucesso;2;13;65;0;1077;0.055344547;0.050370772;0.080756014;0.813528667;612;557;893;8996;0;19;0;14;1729;0;0;6;109
60463;20120102;4605;6;7;19;25728;Sucesso;3;19;491;0;1633;0.023787313;0.021649565;0.173390858;0.781172264;612;557;4461;20098;0;35;0;46;8147;1;2088;31;231
60463;20120102;4605;3;8;14;14648;Sucesso;1;20;401;0;696;0;0.056253413;0.150669033;0.793077553;0;824;2207;11617;0;13;0;20;3400;0;0;1;113
60463;20120102;4605;6;10;30;37758;Sucesso;3;46;395;0;2174;0;0.215371577;0.347740876;0.436887547;0;8132;13130;16496;0;29;0;42;6495;1;1314;15;306
60463;20120102;4605;3;5;3;9183;Sucesso;3;8;74;1;885;0;0;0.501796798;0.498203202;0;0;4608;4575;0;2;0;3;644;0;0;4;43
60463;20120102;4605;6;1;8;16856;Sucesso;3;9;0;1;1208;0;0;0.579971523;0.420028477;0;0;9776;7080;0;8;0;8;1941;1;3008;21;82
60463;20120102;4605;3;12;11;20362;Sucesso;1;19;1692;31;4119;0;0.26824477;0.218789903;0.512965328;0;5462;4455;10445;0;11;0;21;4798;0;0;32;139
60463;20120102;4605;6;6;20;53090;Sucesso;5;45;600;93;8774;0;0.275814654;0.183198342;0.540987003;0;14643;9726;28721;0;18;0;48;10313;1;4395;128;334
60463;20120102;4605;3;1;2;694;Sucesso;0;1;0;0;0;0;0;0.528818444;0.471181556;0;0;367;327;0;0;0;0;0;0;0;0;5
60463;20120102;4605;3;1;3;1112;ReprEvadiu;0;1;0;0;27;0;0;0;1;0;0;0;1112;0;2;0;3;99;0;0;0;10
60463;20120102;4605;6;0;5;3551;ReprEvadiu;0;1;0;0;27;0;0.323852436;0.094902844;0.58124472;0;1150;337;2064;0;3;0;7;606;1;1390;7;24
60463;20120102;4605;3;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60463;20120102;4605;6;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60463;20120102;4605;3;10;16;23616;ReprEvadiu;1;22;732;2;2188;0.039888211;0.206597222;0.139185298;0.614329268;942;4879;3287;14508;0;16;0;32;8563;0;0;3;156
60463;20120102;4605;6;21;34;62356;ReprEvadiu;3;33;59;2;3615;0.055439733;0.117647059;0.108730515;0.718182693;3457;7336;6780;44783;0;43;0;96;23635;1;14659;61;362
60463;20120102;4605;3;9;10;10604;Sucesso;5;24;1682;0;372;0.303658997;0;0;0.696341003;3220;0;0;7384;0;16;0;20;2111;0;0;8;117
60463;20120102;4605;3;4;7;5941;Sucesso;1;10;792;0;0;0;0;0;1;0;0;0;5941;0;3;0;4;1042;0;0;1;58
60463;20120102;4605;6;7;13;21235;Sucesso;3;19;196;0;1010;0;0;0;1;0;0;0;21235;0;17;0;18;5212;1;2301;27;164
60463;20120102;4605;3;20;14;30372;Sucesso;6;22;720;38;5379;0;0.017022257;0.148788358;0.834189385;0;517;4519;25336;0;21;0;59;8078;0;35;46;207
60463;20120102;4605;6;28;29;79212;Sucesso;8;51;630;108;11859;0.003787305;0.064977529;0.223551987;0.707683179;300;5147;17708;56057;0;37;0;116;20145;2;4758;193;496
60463;20120102;4605;6;10;15;27954;Sucesso;4;29;87;9;1369;0.084388638;0.021213422;0.165486156;0.728911784;2359;593;4626;20376;0;30;0;75;9657;1;2567;36;270
60463;20120102;4605;3;12;14;17199;Sucesso;1;27;279;1;987;0;0.480202337;0.433281005;0.086516658;0;8259;7452;1488;0;21;0;62;8389;0;618;3;235
60463;20120102;4605;6;6;29;31985;Sucesso;4;49;612;1;1823;0;0.464280131;0.417883383;0.117836486;0;14850;13366;3769;0;28;0;88;12707;1;2286;90;397
60463;20120102;4605;3;15;17;25739;ReprEvadiu;3;25;510;6;2761;0;0.029488325;0.136407786;0.834103889;0;759;3511;21469;0;22;0;36;6846;0;76;13;174
