CodigoPessoa;CodigoDisciplina;PeriodoLetivo;NumeroModulos;CodigoTurma;NumeroModulo;NumeroUltimoModulo;Login_Quantidade;Numero_Dias_Acessados_Modulo;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal;Turno_TempoUsoTotal_Somado;QuantidadeMatriculasValidas;QuantidadeMatriculasAprovadas;MatriculasPercentualAproveitamento;StatusMatricula;Evadido;Forum_Quantidade_Post;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso;Assignment_View_TempoUso_Somado;Resource_View_Quantidade;Resource_View_Quantidade_Somado;Resource_View_Tempo;Resource_View_Tempo_Somado;Questionario_Quantidade;Questionario_Quantidade_Somado;Questionario_TempoUso;Questionario_TempoUso_Somado;Log_Post_Quantidade;Log_Post_Quantidade_Somado;Log_View_Quantidade;Log_View_Quantidade_Somado;Disciplina_Reprovado
31473;60463;20120102;9;4605;6;10;11;3;19;3948;20329;3;3;100;Reprovado;ReprEvadiu;0;2;3;15;391;0;12;1093;2079;0;0;0;0.136996409;0.224670719;0.287815436;0.775329281;0.575188155;0;0;0;2785;887;5851;3061;11693;0;0;2;21;0;0;6;21;1161;3604;0;1;38;2438;0;35;37;137;0
31640;60463;20120102;9;4605;6;11;7;4;20;5997;22146;4;4;100;Aprovado;Sucesso;0;2;2;12;72;0;0;580;966;0.057362014;0.129729974;0;0.037749481;0;0.116635058;0.942637986;0.715885487;344;2873;0;836;0;2583;5653;15854;0;0;14;37;0;0;14;41;3115;7195;0;1;669;3556;9;22;45;166;0
31850;60463;20120102;9;4605;6;11;3;2;8;4714;9351;3;0;0;Reprovado;ReprEvadiu;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;4714;9351;0;0;1;7;0;0;10;22;4292;6848;0;0;0;356;0;1;14;55;0
31964;60463;20120102;9;4605;6;9;0;0;5;0;5850;3;3;100;Reprovado;ReprEvadiu;0;0;0;2;0;0;0;0;16;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5850;0;0;0;3;0;0;0;7;0;1990;0;0;0;300;0;0;0;27;0
32081;60463;20120102;9;4605;6;10;21;5;25;8450;32224;1;1;100;Reprovado;ReprEvadiu;1;4;11;59;994;0;0;94;94;0;0;0.415384615;0.481597567;0.128284024;0.373107001;0.456331361;0.145295432;0;0;3510;15519;1084;12023;3856;4682;0;0;17;67;0;0;15;64;1503;7551;0;1;1260;7041;8;53;84;384;0
33816;60463;20120102;9;4605;6;0;0;0;0;0;0;2;0;0;Reprovado;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30760;60463;20120102;9;4604;6;10;4;3;20;1894;19030;4;3;75;Reprovado;ReprEvadiu;0;4;2;26;86;0;0;14;1025;0;0;0.316789863;0.493641618;0.683210137;0.325223332;0;0.18113505;0;0;600;9394;1294;6189;0;3447;0;0;1;16;0;0;6;28;718;5805;0;1;21;772;0;11;18;225;0
30770;60463;20120102;9;4604;6;13;41;6;24;16091;62225;4;4;100;Aprovado;Sucesso;0;3;25;71;1423;0;0;267;635;0.021999876;0.005689032;0.025728668;0.169337083;0.139394693;0.230566493;0.812876763;0.594407393;354;354;414;10537;2243;14347;13080;36987;0;0;8;46;0;0;23;73;3994;14910;1;2;3884;7612;37;78;133;502;0
30806;60463;20120102;9;4604;6;11;5;3;19;2867;34296;4;4;100;Aprovado;Sucesso;0;1;4;30;341;0;0;437;2686;0;0;0;0.031082342;0.104638995;0.214369023;0.895361005;0.754548635;0;0;0;1066;300;7352;2567;25878;0;0;1;22;0;0;10;54;937;11185;0;1;37;3979;0;28;31;352;0
30876;60463;20120102;9;4604;6;7;19;5;31;7114;41921;4;4;100;Desistente;ReprEvadiu;0;4;23;88;1323;0;0;397;1130;0;0.007514134;0.049198763;0.042914053;0.667838066;0.589179647;0.282963171;0.360392166;0;315;350;1799;4751;24699;2013;15108;0;0;1;30;0;0;21;77;2869;12095;0;1;57;2879;1;37;116;516;0
31366;60463;20120102;9;4604;6;9;9;5;20;4108;17194;3;3;100;Aprovado;Sucesso;0;1;1;7;305;0;0;0;901;0;0;0.073028238;0.06234733;0.926971762;0.496335931;0;0.441316738;0;0;300;1072;3808;8534;0;7588;0;0;1;13;0;0;9;21;1050;3709;0;1;872;1558;1;12;26;101;0
31425;60463;20120102;9;4604;6;9;9;4;25;3821;33140;2;2;100;Aprovado;Sucesso;0;1;1;15;62;1;15;335;4840;0;0;0.457471866;0.157030779;0.268777807;0.246047073;0.273750327;0.596922148;0;0;1748;5204;1027;8154;1046;19782;0;0;1;19;0;0;5;50;405;8906;0;1;17;1828;1;35;21;194;0
31475;60463;20120102;9;4604;6;12;12;5;30;4388;32027;3;3;100;Aprovado;Sucesso;0;2;1;16;49;0;0;395;433;0;0;0.136736554;0.308083804;0.215815861;0.359196928;0.647447584;0.332719268;0;0;600;9867;947;11504;2841;10656;0;0;0;25;0;0;1;10;300;1686;0;1;354;2123;1;19;26;264;0
31754;60463;20120102;9;4604;6;0;0;0;0;0;0;3;0;0;Desistente;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31769;60463;20120102;9;4604;6;10;12;4;26;5048;43884;4;4;100;Aprovado;Sucesso;0;3;6;67;675;0;8;533;3813;0;0;0.621434231;0.137088688;0.184627575;0.262282381;0.193938193;0.600628931;0;0;3137;6016;932;11510;979;26358;0;0;4;48;0;0;13;82;2225;14419;0;1;44;3518;1;31;46;516;0
31854;60463;20120102;9;4604;6;2;0;0;4;0;2330;4;2;50;Desistente;ReprEvadiu;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2330;0;0;0;1;0;0;0;2;0;300;0;0;0;0;0;0;0;15;0
32391;60463;20120102;9;4604;6;2;0;0;3;0;3165;2;2;100;Desistente;ReprEvadiu;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3165;0;0;0;0;0;0;0;9;0;2430;0;0;0;0;0;0;0;26;0
32921;60463;20120102;9;4604;6;0;0;0;0;0;0;4;0;0;Desistente;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32932;60463;20120102;9;4604;6;8;3;1;14;2964;27614;3;2;66.67;Desistente;ReprEvadiu;0;2;0;14;10;8;35;791;4728;0;0;0;0.047656986;0;0.38820888;1;0.564134135;0;0;0;1316;0;10720;2964;15578;0;0;1;24;0;0;1;30;417;5283;0;1;0;2057;8;71;10;197;0
32936;60463;20120102;9;4604;6;0;0;0;0;0;0;3;0;0;Desistente;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
488;60463;20120102;9;4605;6;3;0;0;2;0;772;2;2;100;Reprovado;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0.527202073;0;0;0;0.472797927;0;0;0;407;0;0;0;365;0;0;0;2;0;0;0;4;0;110;0;0;0;0;0;0;0;12;0
3371;60463;20120102;9;4605;6;11;1;1;9;330;6594;12;7;58.33;Reprovado;ReprEvadiu;0;0;0;1;0;0;0;0;300;0;0;1;0.342887473;0;0.435092508;0;0.222020018;0;0;330;2261;0;2869;0;1464;0;0;0;20;0;0;0;11;0;1738;0;1;300;1144;0;15;2;59;0
4887;60463;20120102;9;4605;6;9;7;3;14;2231;16726;6;6;100;Aprovado;Sucesso;0;1;0;14;0;0;0;0;39;0;0;0;0;0.417301658;0.885328231;0.582698342;0.114671769;0;0;0;0;931;14808;1300;1918;0;0;3;21;0;0;1;27;64;3348;0;1;600;4218;0;60;13;122;0
19683;60463;20120102;9;4605;6;7;1;1;19;300;13555;2;2;100;Reprovado;ReprEvadiu;0;1;0;5;0;0;0;0;747;0;0.072445592;0;0.101586131;1;0.104020657;0;0.721947621;0;982;0;1377;300;1410;0;9786;0;0;0;19;0;0;0;6;0;1888;0;1;0;1061;0;29;1;94;0
22034;60463;20120102;9;4605;6;9;4;2;17;1621;30351;14;13;92.86;Aprovado;Sucesso;0;2;1;18;30;5;21;475;2202;0;0;0;0.035682515;0;0.400019769;1;0.564297717;0;0;0;1083;0;12141;1621;17127;0;0;6;38;0;0;1;21;31;4763;0;2;12;10942;5;224;17;151;0
22075;60463;20120102;9;4605;6;2;0;0;3;0;8065;8;0;0;Reprovado;ReprEvadiu;0;1;0;6;0;0;0;0;48;0;0;0;0;0;0.537011779;0;0.462988221;0;0;0;0;0;4331;0;3734;0;0;0;0;0;0;0;5;0;1515;0;0;0;0;0;1;0;41;0
22256;60463;20120102;9;4605;6;10;0;0;2;0;4507;13;10;76.92;Reprovado;ReprEvadiu;0;0;0;3;0;0;18;0;3109;0;0;0;0;0;0.122254271;0;0.877745729;0;0;0;0;0;551;0;3956;0;0;0;0;0;0;0;2;0;600;0;0;0;0;0;18;0;18;0
28212;60463;20120102;9;4605;6;9;13;4;19;6782;26463;6;5;83.33;Reprovado;ReprEvadiu;0;1;5;24;474;0;0;0;52;0.605573577;0.586139138;0.044234739;0.044174886;0;0.127801081;0.350191684;0.241884896;4107;15511;300;1169;0;3382;2375;6401;0;0;4;40;0;0;9;82;1822;7705;1;2;2518;6619;26;101;48;282;0
28454;60463;20120102;9;4605;6;11;13;4;35;3474;44631;7;6;85.71;Aprovado;Sucesso;0;3;3;46;611;0;0;0;23;0.094127807;0.049517152;0.364997121;0.084448029;0.349165227;0.261835944;0.191709845;0.604198875;327;2210;1268;3769;1213;11686;666;26966;0;0;1;36;0;0;1;54;300;13696;0;1;0;2848;0;27;20;310;0
29300;60463;20120102;9;4605;6;6;6;1;5;1388;4600;7;4;57.14;Reprovado;ReprEvadiu;0;0;3;5;354;0;0;26;26;0;0;1;0.30173913;0;0.69826087;0;0;0;0;1388;1388;0;3212;0;0;0;0;6;10;0;0;5;7;463;750;0;0;32;940;5;9;27;47;0
28022;60463;20120102;9;4605;6;10;7;2;20;3936;31925;8;5;62.5;Reprovado;ReprEvadiu;0;3;0;25;0;11;12;1407;1545;0;0.196930305;0;0.051527016;0;0.21274863;1;0.538794049;0;6287;0;1645;0;6792;3936;17201;0;0;4;28;0;0;0;23;0;4080;0;1;84;4512;11;42;13;213;0
32725;60463;20120102;9;4605;6;10;5;3;23;1112;28181;1;1;100;Reprovado;ReprEvadiu;0;3;0;33;0;0;0;0;14;0;0;0;0.124906852;0.326438849;0.507327632;0.673561151;0.367765516;0;0;0;3520;363;14297;749;10364;0;0;0;18;0;0;0;48;0;9940;0;0;0;1286;0;13;16;264;0
29378;60463;20120102;9;4605;6;0;0;0;0;0;0;7;0;0;Reprovado;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29626;60463;20120102;9;4605;6;9;0;0;7;0;22285;7;7;100;Aprovado;Sucesso;0;2;0;9;0;0;0;0;1096;0;0.02692394;0;0;0;0.1580884;0;0.81498766;0;600;0;0;0;3523;0;18162;0;0;0;20;0;0;0;23;0;7447;0;1;0;3276;0;68;0;128;0
30743;60463;20120102;9;4605;6;9;6;3;17;1921;27919;2;2;100;Aprovado;Sucesso;0;3;0;20;0;1;14;444;5062;0.156168662;0.010745371;0;0.022457824;0;0.097173968;0.843831338;0.869622837;300;300;0;627;0;2713;1621;24279;0;0;0;16;0;0;2;33;352;6787;0;1;17;645;1;31;10;201;0
30763;60463;20120102;9;4605;6;9;7;4;19;3311;25728;3;3;100;Aprovado;Sucesso;0;3;2;19;491;0;0;297;1633;0;0.023787313;0;0.021649565;0;0.173390858;1;0.781172264;0;612;0;557;0;4461;3311;20098;0;0;4;35;0;0;11;46;993;8147;0;1;300;2088;0;31;37;231;0
31179;60463;20120102;9;4605;6;9;10;6;30;4062;37758;4;4;100;Aprovado;Sucesso;0;3;4;46;395;0;0;311;2174;0;0;0.46971935;0.215371577;0.382570162;0.347740876;0.147710487;0.436887547;0;0;1908;8132;1554;13130;600;16496;0;0;2;29;0;0;1;42;300;6495;0;1;0;1314;0;15;22;306;0
31187;60463;20120102;9;4605;6;10;1;1;8;331;16856;3;3;100;Aprovado;Sucesso;0;3;0;9;0;0;1;305;1208;0;0;0;0;0;0.579971523;1;0.420028477;0;0;0;0;0;9776;331;7080;0;0;0;8;0;0;0;8;0;1941;0;1;0;3008;0;21;4;82;0
31221;60463;20120102;9;4605;6;9;6;3;20;4770;53090;3;3;100;Aprovado;Sucesso;0;5;2;45;600;29;93;3365;8774;0;0;0.062893082;0.275814654;0.133542977;0.183198342;0.803563941;0.540987003;0;0;300;14643;637;9726;3833;28721;0;0;0;18;0;0;5;48;142;10313;0;1;0;4395;29;128;24;334;0
31479;60463;20120102;9;4605;6;9;0;0;5;0;3551;3;3;100;Reprovado;ReprEvadiu;0;0;0;1;0;0;0;0;27;0;0;0;0.323852436;0;0.094902844;0;0.58124472;0;0;0;1150;0;337;0;2064;0;0;0;3;0;0;0;7;0;606;0;1;0;1390;0;7;0;24;0
31491;60463;20120102;9;4605;6;0;0;0;0;0;0;4;0;0;Reprovado;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31499;60463;20120102;9;4605;6;12;21;5;34;11070;62356;3;3;100;Reprovado;ReprEvadiu;0;3;4;33;59;0;2;362;3615;0;0.055439733;0.22195122;0.117647059;0.187082204;0.108730515;0.590966576;0.718182693;0;3457;2457;7336;2071;6780;6542;44783;0;0;4;43;0;0;16;96;4369;23635;0;1;3740;14659;12;61;67;362;0
31084;60463;20120102;9;4605;6;11;7;2;13;3226;21235;3;3;100;Aprovado;Sucesso;0;3;2;19;196;0;0;361;1010;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3226;21235;0;0;2;17;0;0;5;18;1630;5212;0;1;0;2301;0;27;21;164;0
31090;60463;20120102;9;4605;6;11;28;4;29;18082;79212;4;4;100;Aprovado;Sucesso;0;8;4;51;630;45;108;3623;11859;0;0.003787305;0.199756664;0.064977529;0.338734653;0.223551987;0.461508683;0.707683179;0;300;3612;5147;6125;17708;8345;56057;0;0;0;37;0;0;34;116;6231;20145;1;2;2689;4758;63;193;83;496;0
31233;60463;20120102;9;4605;6;11;10;5;15;4849;27954;3;3;100;Aprovado;Sucesso;0;4;3;29;87;7;9;884;1369;0.201897298;0.084388638;0;0.021213422;0.193235719;0.165486156;0.604866983;0.728911784;979;2359;0;593;937;4626;2933;20376;0;0;13;30;0;0;12;75;1420;9657;0;1;469;2567;13;36;46;270;0
31234;60463;20120102;9;4605;6;11;6;3;29;2994;31985;4;3;75;Aprovado;Sucesso;0;4;3;49;612;0;1;0;1823;0;0;0.847027388;0.464280131;0.152972612;0.417883383;0;0.117836486;0;0;2536;14850;458;13366;0;3769;0;0;0;28;0;0;12;88;1994;12707;0;1;15;2286;0;90;26;397;0
